accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude,cluster
2024-07-12,6:01:00 PM,п'ятниця,місто,Львів,Сихівський,вулиця,Коломийська,,вул. Коломийська - вул. Трильовського К.,зіткнення з задньою частиною тз,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,,,,,,,,,,49.78772,24.063567,2
2024-07-17,1:30:00 PM,середа,місто,Львів,Галицький,вулиця,Меретина Б.,5,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,легко травмований,легко травмований,,,,,,,,,,49.837803,24.00745,0
2024-08-05,9:14:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Городоцька,112,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.836896,23.996732,0
2024-08-05,1:40:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Городоцька,282а,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.823356,23.92819,3
2024-09-09,9:45:00 AM,понеділок,місто,Львів,Сихівський,вулиця,Стрийська,45а,,зіткнення бокове,порушення правил надання безперешкодного проїзду,2,без ушкоджень,легко травмований,,,,,,,,,,49.806814,24.019026,2
2024-08-14,11:01:00 AM,середа,місто,Львів,Сихівський,вулиця,Запорізька,27,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,,,,,,,,,,49.814419,24.034846,2
2024-08-15,5:43:00 PM,четвер,селище,Брюховичі,Шевченківський,вулиця,Володимира Івасюка,3,,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,,,,,,,,,49.901863,23.938522,3
2024-09-08,7:30:00 PM,неділя,місто,Львів,Залізничний,вулиця,Північна,2,,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,,,,,,,,,49.833557,23.933271,3
2024-08-29,8:01:00 PM,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,58,,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,,,,,,,,,,49.811816,23.986158,0
2024-09-04,8:25:00 PM,середа,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",23,,наїзд на інші види перешкод,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.824636,24.012031,0
2024-08-31,6:01:00 PM,субота,місто,Дубляни,Шевченківський,вулиця,Київська,16,,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.891631,24.091494,1
2024-08-31,2:20:00 PM,субота,місто,Львів,Личаківський,вулиця,Пасічна,93,,зіткнення бокове,недодержання дистанції,2,без ушкоджень,легко травмований,,,,,,,,,,49.811761,24.080084,1
2024-08-28,4:55:00 PM,середа,місто,Львів,Франківський,вулиця,Рубчака І.,17а,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.806692,24.011929,0
2024-09-10,9:45:00 AM,вівторок,місто,Львів,Сихівський,вулиця,Зелена,,Обїзна,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,,,,,,,,,49.780266,24.089799,2
2024-09-01,7:31:00 PM,неділя,місто,Львів,Личаківський,площа,"Петрушевича Є., пл.",,пл. Петрушевича Є. - вул. Зелена,зіткнення бокове,проїзд перехрестя на заборонений сигнал світлофора чи жест регулювальника,2,без ушкоджень,легко травмований,,,,,,,,,,49.834246,24.035522,4
2024-08-22,8:26:00 PM,четвер,місто,Львів,Личаківський,вулиця,Личаківська,,вул. Личаківська - вул. Долішня,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,,,,,,,,,,49.836055,24.06501,1
2024-08-27,9:40:00 PM,вівторок,місто,Львів,Шевченківський,вулиця,Єрошенка В.,17а,,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,,,,,,,,,,,49.852304,24.003201,4
